"Customweb_SaferpayCw::* Required Fields","* Erforderliche Felder"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","Ein Fehler ist aufgetreten: SaferpayCw Antwort ist: '!data'"
"Customweb_SaferpayCw::Approval mode","Abnahmemodus"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Customweb_SaferpayCw::Authentication failed","Authentifizierung fehlgeschlagen"
"Customweb_SaferpayCw::Authentication failed, please check the configuration","Authentifizierung fehlgeschlagen, üperprüfen Sie bitte die Konfigurationen."
"Customweb_SaferpayCw::Author","Autor"
"Customweb_SaferpayCw::Authorization Amount","Autorisierungsbetrag"
"Customweb_SaferpayCw::Authorization Failed","Autorisierung fehlgeschlagen"
"Customweb_SaferpayCw::Authorization Method","Autorisierungsmethode"
"Customweb_SaferpayCw::Authorization is uncertain.","Autorisierung ist unsicher"
"Customweb_SaferpayCw::Authorized Status","Autorisationsstatus"
"Customweb_SaferpayCw::Await Notification","Benachrichtigung abwarten"
"Customweb_SaferpayCw::Awaiting confirmation","Warten auf die Bestätigung"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Customweb_SaferpayCw::Bank Code","Bankcodenummer"
"Customweb_SaferpayCw::Bank Location","Bank Standort"
"Customweb_SaferpayCw::Bank Name","Name der Bank"
"Customweb_SaferpayCw::Bank account number","Bankkonto"
"Customweb_SaferpayCw::Bank code","Bankleitzahl"
"Customweb_SaferpayCw::Bank code number","Bankcodenummer"
"Customweb_SaferpayCw::Bank name","Bank"
"Customweb_SaferpayCw::Bank: @bank","Bank: @bank"
"Customweb_SaferpayCw::Before payment selection","Vor der Wahl der Zahlungsmethode"
"Customweb_SaferpayCw::Billing Address","Rechnungsadresse"
"Customweb_SaferpayCw::Billing Information","Rechnungsinformationen"
"Customweb_SaferpayCw::Billing address","Billing address"
"Customweb_SaferpayCw::Billing address is sent","Rechnungsadresse an Saferpay übermitteln"
"Customweb_SaferpayCw::Billing and Delivery address is sent","Rechnungs- und Lieferadresse werden versendet"
"Customweb_SaferpayCw::Billing and Shipping","Verrechnung und Versand"
"Customweb_SaferpayCw::Billpay Approval","Billpay Approval"
"Customweb_SaferpayCw::Billpay General Terms","Billpay Allgemeine Bedingungen"
"Customweb_SaferpayCw::Brand Name","Markenname"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","Indem Sie mit dem Checkout fortfahren, bestätigen Sie die Allgemeinen Geschäftsbedingungen."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"Customweb_SaferpayCw::CVC Code","CVC Code"
"Customweb_SaferpayCw::Cancel","Stornieren"
"Customweb_SaferpayCw::Cancel ID","Stornierungs ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Customweb_SaferpayCw::Cancel status","Stornierungsstatus"
"Customweb_SaferpayCw::Canceled SaferpayCw","Abbrechen SaferpayCw"
"Customweb_SaferpayCw::Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Customweb_SaferpayCw::Cancelled Status","Status für abgebrochene Bestellungen"
"Customweb_SaferpayCw::Cancelled.","Abgebrochen."
"Customweb_SaferpayCw::Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Customweb_SaferpayCw::Capture Amount","Buchungsbetrag"
"Customweb_SaferpayCw::Capture ID","Buchungs ID"
"Customweb_SaferpayCw::Capture amount","Verbuchungsbetrag"
"Customweb_SaferpayCw::Capture information","Buchungs Informationen"
"Customweb_SaferpayCw::Capture status","Verbuchungsstatus"
"Customweb_SaferpayCw::Capture: Don't Close","Verbuchung: Nicht schliessen"
"Customweb_SaferpayCw::Captured Amount","Verbuchter Betrag"
"Customweb_SaferpayCw::Captured Status","Verbuchungsstatus"
"Customweb_SaferpayCw::Captures","Verbuchungen"
"Customweb_SaferpayCw::Captures & Refunds","Verbuchungen & Gutschriften"
"Customweb_SaferpayCw::Capturing","Verbuchung"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","Verbuchung nicht möglich. Buchungsresultat '!result'"
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","Verbuchung nicht möglich. Technischer Fehler. Server Antwort '!response'"
"Customweb_SaferpayCw::Card Country Origin","Herkunftsland der Karte"
"Customweb_SaferpayCw::Card Expiration","Kartenablaufdatum"
"Customweb_SaferpayCw::Card Expiry Date","Ablaufdatum der Karte"
"Customweb_SaferpayCw::Card Form - Holder Name","Kartenformular - Name des Inhabers"
"Customweb_SaferpayCw::Card Holder Name","Karteninhaber"
"Customweb_SaferpayCw::Card Number","Kartennummer"
"Customweb_SaferpayCw::Card Reference ID","Kartenreferenznummer"
"Customweb_SaferpayCw::Card Type","Kartenanbieter"
"Customweb_SaferpayCw::Card verification mode","Card Verification Mode"
"Customweb_SaferpayCw::Carrier Title","Carrier Title"
"Customweb_SaferpayCw::Check out faster","Schnelleres Bestellen"
"Customweb_SaferpayCw::Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Als Gast zur Kasse gehen"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Customweb_SaferpayCw::Checkout as a new customer","Als Neukunde bestellen"
"Customweb_SaferpayCw::Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Customweb_SaferpayCw::Checkout with MasterPass.","Bezahlen mit MasterPass."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt. Für verbuchte Zahlungen wird stets eine Rechnung erstellt."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Entscheiden Sie, ob der Kunde von Saferpay separat per E-Mail informiert werden soll."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Wählen Sie Ihren Provider für Direct Debit Zahlungen."
"Customweb_SaferpayCw::Communication with the processor failed.","Kommunikation mit dem Prozessor fehlgeschlagen."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","Communication with the processor timed out. Please check with acquirer."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","Kommunikation mit dem Prozessor abgelaufen. Überprüfen Sie dies bitte mit dem Erwerber."
"Customweb_SaferpayCw::Company","Firma"
"Customweb_SaferpayCw::Company Commercial Number","Handelsregisternummer der Firma"
"Customweb_SaferpayCw::Company name","Firmenname"
"Customweb_SaferpayCw::Condition not satisfied.","Condition not satisfied."
"Customweb_SaferpayCw::Condition not staisfied.","Bedingung nicht erfüllt."
"Customweb_SaferpayCw::Confirm Password","Passwort bestätigen"
"Customweb_SaferpayCw::Continue","Fortfahren"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","Es konnte kein Adapter für die Autorisierungsmethode !methodName gefunden werden."
"Customweb_SaferpayCw::Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Customweb_SaferpayCw::Create Account","Benutzerkonto erstellen"
"Customweb_SaferpayCw::Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Customweb_SaferpayCw::Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Customweb_SaferpayCw::Creation Date","Erstellungsdatum"
"Customweb_SaferpayCw::Credit Card Brands","Kreditkartenbrand"
"Customweb_SaferpayCw::Credit Memo History","Gutschrifthistorie"
"Customweb_SaferpayCw::Credit Memo Totals","Gutschrift Total"
"Customweb_SaferpayCw::Credit limit exceeded.","Kreditlimit überschritten."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Customweb_SaferpayCw::Creditor Identifier","Kreditor Identifier"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate"
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Gläubiger Identifikationsnummer:  !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> I !CUSTOMER ermächtigt !MERCHANT_NAME regelmäßig Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von Name des Zahlungsempfängers auf mein Konto gezogene Lastschriften einzulösen. <br/>Hinweis: Ich kann/Wir können innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrags verlangen. Es gelten dabei die mit meinem/unserem Kreditinstitut vereinbarten Bedingungen."
"Customweb_SaferpayCw::Currency","Währung"
"Customweb_SaferpayCw::Current Configuration Scope:","Scope der Konfiguration:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Individuelle Parameter wurden verändert. Ein Betrug ist möglich, die Transaktion wird abgebrochen."
"Customweb_SaferpayCw::Customer Account","Kundenkonto"
"Customweb_SaferpayCw::Customer Address","Kundenadresse"
"Customweb_SaferpayCw::Customer Alias Management","Kunden Alias Management"
"Customweb_SaferpayCw::Customer confirmation email","Bestätigungsemail für den Kunden"
"Customweb_SaferpayCw::Customer entered invalid card details","Kunde hat ungültige Kartendetails angegeben."
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","Kunde ist erfolgreich von SaferpayCw zurückgekehrt"
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Der Kunde ist erfolgreich von der SaferpayCw Payment Page zurückgekehrt."
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Der Kunde ist erfolgreich von der SaferpayCw Payment Page zurückgekehrt."
"Customweb_SaferpayCw::Customer used expired card.","Customer used expired card."
"Customweb_SaferpayCw::Customer used expried card.","Kunde verwendet abgelaufene Karte."
"Customweb_SaferpayCw::Customers","Kunden"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Datum"
"Customweb_SaferpayCw::Date of Birth","Geburtsdatum"
"Customweb_SaferpayCw::Date of birth","Geburtsdatum"
"Customweb_SaferpayCw::Day","Tag"
"Customweb_SaferpayCw::Deactivate","Deaktivieren"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Customweb_SaferpayCw::Default Config","Standard Konfiguration"
"Customweb_SaferpayCw::Default lightweight responsive theme","Default lightweight responsive theme"
"Customweb_SaferpayCw::Deferred","Verzögert"
"Customweb_SaferpayCw::Deferred (authorization)","Verzögert (Autorisierung)"
"Customweb_SaferpayCw::Deferred capturing","Verzögerte Buchung"
"Customweb_SaferpayCw::Deferred settlement","Verzögerte Erstellung"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Customweb_SaferpayCw::Delayed","Verzögert"
"Customweb_SaferpayCw::Delete","Löschen"
"Customweb_SaferpayCw::Delivery address","Delivery address"
"Customweb_SaferpayCw::Delivery address is sent","Lieferadresse gesendet"
"Customweb_SaferpayCw::Description","Beschreibung"
"Customweb_SaferpayCw::Description of the order","Beschreibung"
"Customweb_SaferpayCw::Details:","Details:"
"Customweb_SaferpayCw::Details: !details","Details: !details"
"Customweb_SaferpayCw::Diners","Diners Club"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","Direkte Verbuchung fehlgeschlagen."
"Customweb_SaferpayCw::Direct Debits","Lastschrift"
"Customweb_SaferpayCw::Direct E-Banking","Sofortüberweisung"
"Customweb_SaferpayCw::Direct capture after order","Direkte Buchung nach der Bestellung"
"Customweb_SaferpayCw::Direct debit provider","Direct Debit Provider"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct Debit mit Billpay"
"Customweb_SaferpayCw::Direct debit with ELV","Direct Debit mit ELV"
"Customweb_SaferpayCw::Directly after order","Direkte Buchung nach der Bestellung"
"Customweb_SaferpayCw::Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Customweb_SaferpayCw::Disabled","Deaktiviert"
"Customweb_SaferpayCw::Discount","Rabatt"
"Customweb_SaferpayCw::Discount Amount","Rabattbetrag"
"Customweb_SaferpayCw::Do not inform the customer","Kunden nicht informieren"
"Customweb_SaferpayCw::Do not mark them","Nicht markieren"
"Customweb_SaferpayCw::Don't change order status","Bestellstatus nicht verändern."
"Customweb_SaferpayCw::Due Date","Fälligkeitsdatum"
"Customweb_SaferpayCw::During authorization","Während der Autorisation"
"Customweb_SaferpayCw::Edit","Bearbeiten"
"Customweb_SaferpayCw::Edit Invoice %s","Rechnung bearbeiten %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Effektiver Name der Zahlungsmethode"
"Customweb_SaferpayCw::Email Address","E-Mail Adresse"
"Customweb_SaferpayCw::Empty version number field name","Leerer Versionsnummer-Feldname"
"Customweb_SaferpayCw::Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Customweb_SaferpayCw::Enable the payment method","Diese Zahlungsmethode aktivieren"
"Customweb_SaferpayCw::Enabled","Aktiviert"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Customweb_SaferpayCw::Error server responded with status code @status","Fehler Server antwortete mit dem Status Code @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Customweb_SaferpayCw::Excl. Tax","Exkl. Steuern"
"Customweb_SaferpayCw::Expired Token.","Token abgelaufen."
"Customweb_SaferpayCw::External Checkout","Externer Checkout"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Customweb_SaferpayCw::Failed","Fehlgeschlagen"
"Customweb_SaferpayCw::Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Customweb_SaferpayCw::Failed with error: !name","Fehlgeschlagen mit Fehler: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Fehlgeschlagen mit neuem Fehler: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Zahlung aufgrund eines unbekannten Fehlers fehlgeschlagen: !name"
"Customweb_SaferpayCw::Female","Weiblich"
"Customweb_SaferpayCw::Figure !number:","Abbildung !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","Für Tranaktionen über einen existierenden Alias kann CVC deaktiviert werden. Stattdessen wird die Lieferadresse überprüft."
"Customweb_SaferpayCw::Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Customweb_SaferpayCw::Forgot your password?","Passwort vergessen?"
"Customweb_SaferpayCw::Gender","Geschlecht"
"Customweb_SaferpayCw::Get Update","Aktualisieren"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gläubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermächtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukünftig zu entrichtenden Zahlungen bei Fälligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulösen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestätige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","Gläubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermächtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukünftig zu entrichtenden Zahlungen bei Fälligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulösen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestätige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Saferpay übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Saferpay übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_SaferpayCw::Hide","Verbergen"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies."
"Customweb_SaferpayCw::I agree.","Akzeptieren"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","Bankkonto"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
