"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecciona 'Creación después del pedido' si quiere que se crea una factura con el pedido. El estado de la factura basa en la el estado contabilización. Para los pagos capturados, siempre se crea una factura."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Seleccione si desea que su cliente será informado por separado por correo electrónico bySaferpay."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Selecciona su provider para pagos direct debit."
"Customweb_SaferpayCw::Communication with the processor failed.","La comunicación con el procesador ha fallado."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","Comunicación con el procesador agotada. Por favor, consulte con el adquirente."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","Communication with the processor timed out. Please check with aquirer."
"Customweb_SaferpayCw::Company","Empresa"
"Customweb_SaferpayCw::Company Commercial Number","Compañía Número Comercial"
"Customweb_SaferpayCw::Company name","Nombre de la empresa"
"Customweb_SaferpayCw::Condition not satisfied.","Condición no cumplida."
"Customweb_SaferpayCw::Condition not staisfied.","Condition not staisfied."
"Customweb_SaferpayCw::Confirm Password","Confirm Password"
"Customweb_SaferpayCw::Continue","Continuar"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","No se pudo convertir el objeto de tipo '!type' a string."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","No se pudo encontrar una marca para el número de la tarjeta dada."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","No se pudo encontrar un adaptador para el método de autorización !methodName."
"Customweb_SaferpayCw::Could not find pressed button.","No se pudo encontrar el botón presionado."
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","No se pudo encontrar el archivo de plantilla en la ubicación predeterminada '!location'."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","No se pudo encontrar la forma de pago !paymentMethodName."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","No se pudo cargar el diseño de URL !url. Motivo: !reason"
"Customweb_SaferpayCw::Create Account","Create Account"
"Customweb_SaferpayCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_SaferpayCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_SaferpayCw::Creation Date","Creation Date"
"Customweb_SaferpayCw::Credit Card Brands","Marcas de Tarjeta de Crédito"
"Customweb_SaferpayCw::Credit Memo History","Credit Memo History"
"Customweb_SaferpayCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_SaferpayCw::Credit limit exceeded.","Límite de crédito excedido."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Total del nota de crédito debe ser positivo."
"Customweb_SaferpayCw::Creditor Identifier","Identificador de Acreedores"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate"
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate.","Número de identificación del acreedor: !CREDITOR_ID<br/> Referencia del mandato: !MANDATE_REFERENCE<br/> Fecha: !DATE<br/> <br/> I !CUSTOMER !MERCHANT_NAME la autorización revocable para domiciliar el importe antes mencionado y para cobrar de mi cuenta los pagos futuros mediante domiciliación bancaria, de acuerdo con los datos que he indicado anteriormente. Al mismo tiempo, instruyo a mi institución financiera a redimir los débitos de mi cuenta. <br/> <br/> Nota: Puedo solicitar el reembolso del importe adeudado a las ocho semanas de la fecha de adeudo. Las condiciones acordadas con mi institución financiera se aplican a esto. <br/> Por la presente confirmo el mandato de Adeudo Directo SEPA."
"Customweb_SaferpayCw::Currency","Moneda"
"Customweb_SaferpayCw::Current Configuration Scope:","Alcance de configuración actual:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Parámetros personalizados se han alterado. Fraude posible, abortando."
"Customweb_SaferpayCw::Customer Account","Customer Account"
"Customweb_SaferpayCw::Customer Address","Dirección del cliente"
"Customweb_SaferpayCw::Customer Alias Management","Customer Alias Management"
"Customweb_SaferpayCw::Customer confirmation email","Correo electrónico de confirmación del cliente"
"Customweb_SaferpayCw::Customer entered invalid card details","Datos de la tarjeta no válidos introducidos por el cliente"
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","El cliente ha regresado con éxito de SaferpayCw"
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Cliente regresó con éxito de Saferpay"
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Cliente con éxito regresó de la página de pago ____ ModuleCamel____."
"Customweb_SaferpayCw::Customer used expired card.","El cliente usó una tarjeta caducada."
"Customweb_SaferpayCw::Customer used expried card.","Customer used expried card."
"Customweb_SaferpayCw::Customers","Customers"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Fecha"
"Customweb_SaferpayCw::Date of Birth","Fecha de nacimiento"
"Customweb_SaferpayCw::Date of birth","Fecha de nacimiento"
"Customweb_SaferpayCw::Day","Día"
"Customweb_SaferpayCw::Deactivate","Deactivate"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_SaferpayCw::Default Config","Configuración estándar"
"Customweb_SaferpayCw::Default lightweight responsive theme","Tema de respuesta ligera predeterminado"
"Customweb_SaferpayCw::Deferred","Diferido"
"Customweb_SaferpayCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_SaferpayCw::Deferred capturing","Contabilización retrasada"
"Customweb_SaferpayCw::Deferred settlement","Creación retrasada"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_SaferpayCw::Delayed","Retrasado"
"Customweb_SaferpayCw::Delete","Borrar"
"Customweb_SaferpayCw::Delivery address","Dirección de envío"
"Customweb_SaferpayCw::Delivery address is sent","Enviar dirección de envío"
"Customweb_SaferpayCw::Description","Descripción"
"Customweb_SaferpayCw::Description of the order","Descripción de pedido"
"Customweb_SaferpayCw::Details:","Details:"
"Customweb_SaferpayCw::Details: !details","Details: !details"
"Customweb_SaferpayCw::Diners","Diners"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","Captura Directa falló."
"Customweb_SaferpayCw::Direct Debits","Direct Debits"
"Customweb_SaferpayCw::Direct E-Banking","Direct E-Banking"
"Customweb_SaferpayCw::Direct capture after order","Contabilización immediatamente después del pedido"
"Customweb_SaferpayCw::Direct debit provider","Direct Debit Provider"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct Debit con Billpay"
"Customweb_SaferpayCw::Direct debit with ELV","Direct Debit con ELV"
"Customweb_SaferpayCw::Directly after order","Directamente después de la orden"
"Customweb_SaferpayCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_SaferpayCw::Disabled","Desactivado"
"Customweb_SaferpayCw::Discount","Immediatamente después del pedido"
"Customweb_SaferpayCw::Discount Amount","Cantidad de Descuento"
"Customweb_SaferpayCw::Do not inform the customer","No informar al cliente"
"Customweb_SaferpayCw::Do not mark them","No marcar"
"Customweb_SaferpayCw::Don't change order status","No cambie el estado del pedido"
"Customweb_SaferpayCw::Due Date","Fecha de vencimiento"
"Customweb_SaferpayCw::During authorization","Durante la autorización"
"Customweb_SaferpayCw::Edit","Editar"
"Customweb_SaferpayCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Forma de pago Efectivo Nombre"
"Customweb_SaferpayCw::Email Address","Email Address"
"Customweb_SaferpayCw::Empty version number field name","Empty version number field name"
"Customweb_SaferpayCw::Enable or disable logging.","Enable or disable logging."
"Customweb_SaferpayCw::Enable the payment method","Activar forma de pago"
"Customweb_SaferpayCw::Enabled","Activado"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Introduzca la fecha en la que expira su tarjeta."
"Customweb_SaferpayCw::Error server responded with status code @status","El servidor de errores respondió con un código de estado @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_SaferpayCw::Excl. Tax","Excl. impuesto"
"Customweb_SaferpayCw::Expired Token.","Ficha caducada."
"Customweb_SaferpayCw::External Checkout","External Checkout"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_SaferpayCw::Failed","Fallado"
"Customweb_SaferpayCw::Failed payment authorization.","Error de autorización de pago."
"Customweb_SaferpayCw::Failed with error: !name","Error con error: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Failed with new error: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Failed with unkown error: !name"
"Customweb_SaferpayCw::Female","Femenino"
"Customweb_SaferpayCw::Figure !number:","Figure !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","Para transacción usando un alias existente el cheque CVC se puede desabled. La dirección de envío está marcada en su lugar."
"Customweb_SaferpayCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_SaferpayCw::Forgot your password?","Forgot your password?"
"Customweb_SaferpayCw::Gender","Sexo"
"Customweb_SaferpayCw::Get Update","Get Update"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Este prefijo permite cambiar el número de pedido, que se envía a Saferpay. El prefijo debe incluir el tag {id}, que se sustituye entonces por el número de pedido (por ejemplo nombre_ {id})."
"Customweb_SaferpayCw::Hide","Hide"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies."
"Customweb_SaferpayCw::I agree.","Soy de acuerdo"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","número IBAN"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Si sólo hay una unidad en stock y el pago del cliente (comprando esta unidad) falla, el producto está reservado hasta que la orden esta cancelada (vea la opción de tiempo de espera). Activa esta opción si desea que el producto NO está reservado. Ordenes con un estado de pago fallido o annulado entonces serán canceladas inmediatamente."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","Si no es aplicable deje el campo vacío."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","¿Si el pago se realiza sin cambio de la responsabilidad, quiere que la operación está marcado como inseguro?"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si el estado es pendiente' no está claro si la transacción será devuelto con éxito."
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","En el modo de prueba, la Account ID de prueba (99867-94913159) se selecciona automáticamente. Por lo demás, la Account ID configurada se utiliza."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","Si se selecciona el modo de prueba, se utiliza el identificador de la cuenta de prueba. De lo contrario, se utiliza el identificador de cuenta real configurado."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
