"Customweb_SaferpayCw::* Required Fields","* campo obbligatorio"
"Customweb_SaferpayCw::A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"Customweb_SaferpayCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Customweb_SaferpayCw::About","A proposito di"
"Customweb_SaferpayCw::Account Holder","Intestatario del conto"
"Customweb_SaferpayCw::Account Holder Name","Intestatario del conto"
"Customweb_SaferpayCw::Account Number","Numero di conto"
"Customweb_SaferpayCw::Account holder","Account holder"
"Customweb_SaferpayCw::Account name: @account","Nome del conto: @account"
"Customweb_SaferpayCw::Account owner name.","Intestatario del conto"
"Customweb_SaferpayCw::Acquirer Reference","Referenza dell'acquirente"
"Customweb_SaferpayCw::Action","Azione"
"Customweb_SaferpayCw::Action blocked by risk management","Azione bloccata dal gestore del rischio"
"Customweb_SaferpayCw::Action not supported.","Azione non supportata."
"Customweb_SaferpayCw::Actions","Azioni"
"Customweb_SaferpayCw::Activate","Activate"
"Customweb_SaferpayCw::Active","Attivo"
"Customweb_SaferpayCw::Additional Information","Ulteriori informazioni"
"Customweb_SaferpayCw::Adjust Qty","Regolare la quantità"
"Customweb_SaferpayCw::Adjustment Discount","Regolazione del discount"
"Customweb_SaferpayCw::Adjustment Fee","Costi di adeguamento"
"Customweb_SaferpayCw::After payment selection","Dopo la scelta del pagamento"
"Customweb_SaferpayCw::Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Alias da visualizzare"
"Customweb_SaferpayCw::Alias ID","Alias ID"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","Tutti i clienti"
"Customweb_SaferpayCw::Allowed Currencies","Valute accettate"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Customweb_SaferpayCw::Already registered?","Già iscritto?"
"Customweb_SaferpayCw::Always Checkout as Guest","Effettua il checkout sempre come ospite"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Importo"
"Customweb_SaferpayCw::Amount Incl. Tax","Importo tasse incluse"
"Customweb_SaferpayCw::Amount: @amount","Importo: @amount"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","Errore: ____ ModuleCamel____ la risposta é: '!data'"
"Customweb_SaferpayCw::Approval mode","Modalità approvazione"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Customweb_SaferpayCw::Authentication failed","Autenticazione non riuscita"
"Customweb_SaferpayCw::Authentication failed, please check the configuration","Autenticazione fallita, controllare la configurazione"
"Customweb_SaferpayCw::Author","Autore"
"Customweb_SaferpayCw::Authorization Amount","Importo autorizzazione"
"Customweb_SaferpayCw::Authorization Failed","Autorizzazione non riuscita"
"Customweb_SaferpayCw::Authorization Method","Metodo di autorizzazione"
"Customweb_SaferpayCw::Authorization is uncertain.","Autorizzazione incerta"
"Customweb_SaferpayCw::Authorized Status","Status autorizzato"
"Customweb_SaferpayCw::Await Notification","Attendi la notifica"
"Customweb_SaferpayCw::Awaiting confirmation","In attesa di conferma"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","Bad signature format."
"Customweb_SaferpayCw::Bank Code","Numero del codice bancario"
"Customweb_SaferpayCw::Bank Location","Posizione della banca"
"Customweb_SaferpayCw::Bank Name","Nome della banca"
"Customweb_SaferpayCw::Bank account number","Numero IBAN"
"Customweb_SaferpayCw::Bank code","Bank code"
"Customweb_SaferpayCw::Bank code number","Numero del codice bancario"
"Customweb_SaferpayCw::Bank name","Bank name"
"Customweb_SaferpayCw::Bank: @bank","Banca: @bank"
"Customweb_SaferpayCw::Before payment selection","Prima della selezione del pagamento"
"Customweb_SaferpayCw::Billing Address","Billing Address"
"Customweb_SaferpayCw::Billing Information","Dati di fatturazione"
"Customweb_SaferpayCw::Billing address","indirizzo di fatturazione"
"Customweb_SaferpayCw::Billing address is sent","Invia l'indirizzo di fatturazione"
"Customweb_SaferpayCw::Billing and Delivery address is sent","Indirizzo di fatturazione e consegna viene inviato"
"Customweb_SaferpayCw::Billing and Shipping","Fatturazione e spedizione"
"Customweb_SaferpayCw::Billpay Approval","Billpay Approval"
"Customweb_SaferpayCw::Billpay General Terms","Condizioni generali Billpay"
"Customweb_SaferpayCw::Brand Name","Brand Name"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","Procedendo alla cassa, riconoscete i termini e le condizioni."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_SaferpayCw::CVC Code","Codice CVC"
"Customweb_SaferpayCw::Cancel","Interrompere"
"Customweb_SaferpayCw::Cancel ID","Cancel ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Customweb_SaferpayCw::Cancel status","Status di cancellazione"
"Customweb_SaferpayCw::Canceled SaferpayCw","____ModuleCamel___ annullato"
"Customweb_SaferpayCw::Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Customweb_SaferpayCw::Cancelled Status","Status annullato"
"Customweb_SaferpayCw::Cancelled.","Eliminato."
"Customweb_SaferpayCw::Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Customweb_SaferpayCw::Capture Amount","Capture Amount"
"Customweb_SaferpayCw::Capture ID","Capture ID"
"Customweb_SaferpayCw::Capture amount","Importo contabilizzato"
"Customweb_SaferpayCw::Capture information","Informazione della contabilizzazione"
"Customweb_SaferpayCw::Capture status","Status di registrazione"
"Customweb_SaferpayCw::Capture: Don't Close","Registrazione: Non chiudere"
"Customweb_SaferpayCw::Captured Amount","Importo riconosciuto"
"Customweb_SaferpayCw::Captured Status","Status registrato"
"Customweb_SaferpayCw::Captures","Acquisizione"
"Customweb_SaferpayCw::Captures & Refunds","Registrazioni & Rimborsi"
"Customweb_SaferpayCw::Capturing","Contabilizzare"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","La registrazione non é possibile. Risultato registrazione '!result'."
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","La registrazione non é possibile. Errore tecnico. Risposta del server '!response'"
"Customweb_SaferpayCw::Card Country Origin","Paese d'origine della carta"
"Customweb_SaferpayCw::Card Expiration","Carta di data di scadenza"
"Customweb_SaferpayCw::Card Expiry Date","Data di scadenza della carta"
"Customweb_SaferpayCw::Card Form - Holder Name","Formulario della carta - Nome del titolare"
"Customweb_SaferpayCw::Card Holder Name","Titolari di carte"
"Customweb_SaferpayCw::Card Number","Numero di carta"
"Customweb_SaferpayCw::Card Reference ID","ID di riferimento della scheda"
"Customweb_SaferpayCw::Card Type","Tipo di scheda"
"Customweb_SaferpayCw::Card verification mode","Modalità di verifica della carta"
"Customweb_SaferpayCw::Carrier Title","Titolo del trasportatore"
"Customweb_SaferpayCw::Check out faster","Effettua il checkout più velocemente"
"Customweb_SaferpayCw::Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Checkout come ospite"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Customweb_SaferpayCw::Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Customweb_SaferpayCw::Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Customweb_SaferpayCw::Checkout with MasterPass.","Pagare con MasterPass"
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione. Per i pagamenti acquisiti, viene sempre creata una fattura."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Scegliere se si desidera che il cliente sia informato separatamente via e-mail da Saferpay."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Seleziona il provider per i pagamenti direct debit."
"Customweb_SaferpayCw::Communication with the processor failed.","La comunicazione con il processore non é andata a buon fine."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","Communication with the processor timed out. Please check with acquirer."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","Comunicazione con il processore scaduta. Verifica con l'acquirente."
"Customweb_SaferpayCw::Company","Società"
"Customweb_SaferpayCw::Company Commercial Number","Numero commerciale dell'azienda"
"Customweb_SaferpayCw::Company name","Nome della società"
"Customweb_SaferpayCw::Condition not satisfied.","Condition not satisfied."
"Customweb_SaferpayCw::Condition not staisfied.","Condizione non soddisfatta."
"Customweb_SaferpayCw::Confirm Password","Conferma la password"
"Customweb_SaferpayCw::Continue","Continua"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","Impossibile trovare un adattatore per il metodo di autorizzazione !methodName."
"Customweb_SaferpayCw::Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Customweb_SaferpayCw::Create Account","Crea un account"
"Customweb_SaferpayCw::Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_SaferpayCw::Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Customweb_SaferpayCw::Creation Date","Data di creazione"
"Customweb_SaferpayCw::Credit Card Brands","Marche Carta di Credito"
"Customweb_SaferpayCw::Credit Memo History","Credit Memo History"
"Customweb_SaferpayCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_SaferpayCw::Credit limit exceeded.","Limite credito oltrepassato."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Customweb_SaferpayCw::Creditor Identifier","Identificazione del creditore"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Numero di identificazione del creditore: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Data: !DATE<br/> <br/> I !CUSTOMER garantisce a !MERCHANT_NAME l'autorizzazione revocabile per addebitare l'importo sopra citato e per riscuotere pagamenti futuri che devono essere pagati da me dal mio conto via una carta di debito.  <br/> <br/> Nota: Posso richiedere il rimborso dell'importo addebitato fino a 8 settimane da quanto é stato addebitato. Saranno applicate le condizioni concordate con l'istituzione finanziaria. <br/> Confermo l'ordine SEPA Direct Debit."
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Numero di identificazione del creditore: !CREDITOR_ID<br/> Riferimento del mandato: !MANDATE_REFERENCE<br/> Data: !DATE<br/> <br/> Io !CUSTOMER concedo !MERCHANT_NAME l'autorizzazione revocabile ad addebitare l'importo sopra indicato e ad incassare i pagamenti futuri da me effettuati sul mio conto tramite addebito diretto, secondo i miei dati sopra elencati. Allo stesso tempo, incarico il mio istituto finanziario di riscattare gli addebiti sul mio conto. <br/> <br/> Nota: posso richiedere il rimborso dell'importo addebitato con otto settimane dalla data di addebito. A tal fine si applicano le condizioni concordate con il mio istituto finanziario. <br/> Confermo il mandato di addebito diretto SEPA."
"Customweb_SaferpayCw::Currency","Valuta"
"Customweb_SaferpayCw::Current Configuration Scope:","Attuale ambito di configurazione:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Le impostazioni personalizzate sono state modificate. Possibile frode, annullare."
"Customweb_SaferpayCw::Customer Account","Account cliente"
"Customweb_SaferpayCw::Customer Address","L'indirizzo del cliente"
"Customweb_SaferpayCw::Customer Alias Management","Gestione dell'Alias del cliente"
"Customweb_SaferpayCw::Customer confirmation email","Email di conferma del cliente"
"Customweb_SaferpayCw::Customer entered invalid card details","Il cliente ha inserito dettagli della carta non validi."
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","Il cliente é tornato con successo da SaferpayCw."
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customweb_SaferpayCw::Customer used expired card.","Customer used expired card."
"Customweb_SaferpayCw::Customer used expried card.","Il cliente ha usato una carta scaduta."
"Customweb_SaferpayCw::Customers","Clienti"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Data"
"Customweb_SaferpayCw::Date of Birth","Data di nascita"
"Customweb_SaferpayCw::Date of birth","Data di nascita"
"Customweb_SaferpayCw::Day","Giorno"
"Customweb_SaferpayCw::Deactivate","Deactivate"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Customweb_SaferpayCw::Default Config","Configurazione predefinita"
"Customweb_SaferpayCw::Default lightweight responsive theme","Default lightweight responsive theme"
"Customweb_SaferpayCw::Deferred","Ritardato"
"Customweb_SaferpayCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_SaferpayCw::Deferred capturing","Registrazione ritardata"
"Customweb_SaferpayCw::Deferred settlement","Creazione ritardata"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Customweb_SaferpayCw::Delayed","Ritardato"
"Customweb_SaferpayCw::Delete","Cancellare"
"Customweb_SaferpayCw::Delivery address","Indirizzo di consegna"
"Customweb_SaferpayCw::Delivery address is sent","Invia indirizzo spedizione"
"Customweb_SaferpayCw::Description","Descrizione"
"Customweb_SaferpayCw::Description of the order","Descrizione dell'ordine"
"Customweb_SaferpayCw::Details:","Dettagli:"
"Customweb_SaferpayCw::Details: !details","Dettagli: !details"
"Customweb_SaferpayCw::Diners","Diners Club"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","Cattura diretta non riuscita."
"Customweb_SaferpayCw::Direct Debits","Direct Debits"
"Customweb_SaferpayCw::Direct E-Banking","Direct E-Banking"
"Customweb_SaferpayCw::Direct capture after order","Subito dopo l'acquisto"
"Customweb_SaferpayCw::Direct debit provider","Provider Direct Debit"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct Debit con Billpad"
"Customweb_SaferpayCw::Direct debit with ELV","Direct Debit con ELV"
"Customweb_SaferpayCw::Directly after order","Subito dopo l'acquisto"
"Customweb_SaferpayCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_SaferpayCw::Disabled","Disattivato"
"Customweb_SaferpayCw::Discount","Sconto"
"Customweb_SaferpayCw::Discount Amount","Sconto"
"Customweb_SaferpayCw::Do not inform the customer","Non informare i clienti"
"Customweb_SaferpayCw::Do not mark them","Non marcare"
"Customweb_SaferpayCw::Don't change order status","Non cambiare lo stato dell'ordine"
"Customweb_SaferpayCw::Due Date","Scadenza"
"Customweb_SaferpayCw::During authorization","Durante l'autorizzazione"
"Customweb_SaferpayCw::Edit","Modifica"
"Customweb_SaferpayCw::Edit Invoice %s","Modifica la fattura %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Efficace Metodo di pagamento"
"Customweb_SaferpayCw::Email Address","Indirizzo email"
"Customweb_SaferpayCw::Empty version number field name","Campo del numero vuoto"
"Customweb_SaferpayCw::Enable or disable logging.","Attiva o disattiva logging."
"Customweb_SaferpayCw::Enable the payment method","Attiva la modalità di pagamento"
"Customweb_SaferpayCw::Enabled","Attivato"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Customweb_SaferpayCw::Error server responded with status code @status","Risposta status del server con codice: @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_SaferpayCw::Excl. Tax","Escl. tasse"
"Customweb_SaferpayCw::Expired Token.","Token scaduto."
"Customweb_SaferpayCw::External Checkout","Checkout esterno"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Customweb_SaferpayCw::Failed","Non andato a buon fine"
"Customweb_SaferpayCw::Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Customweb_SaferpayCw::Failed with error: !name","Errore non riuscito con l'errore: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Fallita con un errore nuovo: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Failed with unkown error: !name"
"Customweb_SaferpayCw::Female","Femmina"
"Customweb_SaferpayCw::Figure !number:","Figure !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","Per transazione utilizzando un alias esistente il controllo CVC può essere disattivato. Al suo posto  viene controllato l'indirizzo di spedizione."
"Customweb_SaferpayCw::Forgot Your Password?","Hai dimenticato la password?"
"Customweb_SaferpayCw::Forgot your password?","Hai dimenticato la password?"
"Customweb_SaferpayCw::Gender","Genere"
"Customweb_SaferpayCw::Get Update","Aggiorna"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso d'ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a Saferpay .  Il profilo deve contenere il tag {id}. Il prefisso sarà poi sostituito dal numero d'ordine (es. name-{id}). Non utilizzare '_'."
"Customweb_SaferpayCw::Hide","Nascondi"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","Sono d'accordo che i miei dati personali vengono trasmessi al <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH </ a>, al fine di eseguire un controllo idenity e la solvibilità. Si applica <a Href='!link'> sulla privacy di Billpay </ a> ."
"Customweb_SaferpayCw::I agree.","Sono d'accordo"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","Numero IBAN"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","Se il pagamento viene effettuato senza liability shift, la transazione deve essere indicata come non sicura?"
