"Customweb_SaferpayCw::* Required Fields","* Champs requis"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Customweb_SaferpayCw::Already registered?","Déjà inscrit?"
"Customweb_SaferpayCw::Always Checkout as Guest","Toujours commander en tant qu'invité"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Montant"
"Customweb_SaferpayCw::Amount Incl. Tax","Montant Incl. Impôt"
"Customweb_SaferpayCw::Amount: @amount","Montant: @amount"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","Une erreur s'est produite: La réponse de SaferpayCw est: '!data'"
"Customweb_SaferpayCw::Approval mode","Mode d'approbation"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Customweb_SaferpayCw::Authentication failed","L'authentification a échoué."
"Customweb_SaferpayCw::Authentication failed, please check the configuration","L'authentification a échoué, veuillez s'il vous plaît vérifier la configuration."
"Customweb_SaferpayCw::Author","Auteur"
"Customweb_SaferpayCw::Authorization Amount","Montant de l'autorisation"
"Customweb_SaferpayCw::Authorization Failed","Autorisation a échouée"
"Customweb_SaferpayCw::Authorization Method","Mode d'autorisation"
"Customweb_SaferpayCw::Authorization is uncertain.","Autorisation est incertaine"
"Customweb_SaferpayCw::Authorized Status","Statut autorisé"
"Customweb_SaferpayCw::Await Notification","Attendre la notification"
"Customweb_SaferpayCw::Awaiting confirmation","En attente de confirmation"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","Format de signature incorrect"
"Customweb_SaferpayCw::Bank Code","Numéro de code banquaire"
"Customweb_SaferpayCw::Bank Location","Lieu de la banque"
"Customweb_SaferpayCw::Bank Name","Nom de la banque"
"Customweb_SaferpayCw::Bank account number","Número du compte bancaire"
"Customweb_SaferpayCw::Bank code","Bank code"
"Customweb_SaferpayCw::Bank code number","Numéro de code banquaire"
"Customweb_SaferpayCw::Bank name","Bank name"
"Customweb_SaferpayCw::Bank: @bank","Banque: @bank"
"Customweb_SaferpayCw::Before payment selection","Avant la sélection du mode de paiement"
"Customweb_SaferpayCw::Billing Address","Adresse de facturation"
"Customweb_SaferpayCw::Billing Information","Information de facturation"
"Customweb_SaferpayCw::Billing address","Billing address"
"Customweb_SaferpayCw::Billing address is sent","Envoyer adresse de facturation à Saferpay"
"Customweb_SaferpayCw::Billing and Delivery address is sent","L'adresse de facturation et de livraison diffèrent."
"Customweb_SaferpayCw::Billing and Shipping","Facturation et Livraison"
"Customweb_SaferpayCw::Billpay Approval","Approbation Billpay"
"Customweb_SaferpayCw::Billpay General Terms","Billpay Conditions Générales"
"Customweb_SaferpayCw::Brand Name","Nom de marque"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","En continuant avec le checkout vous acceptez les Conditions Générales."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"Customweb_SaferpayCw::CVC Code","Code de sécurité (CVC)"
"Customweb_SaferpayCw::Cancel","Annuler"
"Customweb_SaferpayCw::Cancel ID","Cancel ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Customweb_SaferpayCw::Cancel status","Statut d'annulation"
"Customweb_SaferpayCw::Canceled SaferpayCw","SaferpayCw Annulé"
"Customweb_SaferpayCw::Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Customweb_SaferpayCw::Cancelled Status","Statut Annulé"
"Customweb_SaferpayCw::Cancelled.","Annulé."
"Customweb_SaferpayCw::Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Customweb_SaferpayCw::Capture Amount","Montant de comptabilisation"
"Customweb_SaferpayCw::Capture ID","ID de comptabilisation"
"Customweb_SaferpayCw::Capture amount","Montant comptabilisé"
"Customweb_SaferpayCw::Capture information","Information de comptabilisation"
"Customweb_SaferpayCw::Capture status","Statut de combtabilisation"
"Customweb_SaferpayCw::Capture: Don't Close","Comptabilisation: Ne pas fermer"
"Customweb_SaferpayCw::Captured Amount","Montant comptabilisé"
"Customweb_SaferpayCw::Captured Status","Statut de capture"
"Customweb_SaferpayCw::Captures","Comptabilisations"
"Customweb_SaferpayCw::Captures & Refunds","Captures et Remboursements"
"Customweb_SaferpayCw::Capturing","Comptabiliser"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","Comptabilisation n'est pas possible. Résultat de comptabilisation '!result'"
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","Comptabilisation n'est pas possible. Erreur technique. Réponse du serveur '!response'."
"Customweb_SaferpayCw::Card Country Origin","Carte pays d'origine"
"Customweb_SaferpayCw::Card Expiration","Date d'expiration de la carte"
"Customweb_SaferpayCw::Card Expiry Date","Date d'expiration"
"Customweb_SaferpayCw::Card Form - Holder Name","Formulaire de carte - Nom du titulaire"
"Customweb_SaferpayCw::Card Holder Name","Titulaire de la carte"
"Customweb_SaferpayCw::Card Number","Numéro de la carte"
"Customweb_SaferpayCw::Card Reference ID","ID de référence de la carte"
"Customweb_SaferpayCw::Card Type","Type de la carte de crédit"
"Customweb_SaferpayCw::Card verification mode","Mode de vérification de la carte"
"Customweb_SaferpayCw::Carrier Title","Titre du transporteur"
"Customweb_SaferpayCw::Check out faster","Commander plus vite"
"Customweb_SaferpayCw::Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Checkout en tant qu'invité"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Customweb_SaferpayCw::Checkout as a new customer","Commander en tant que nouveau client"
"Customweb_SaferpayCw::Checkout using your account","Commander en utilisant votre compte"
"Customweb_SaferpayCw::Checkout with MasterPass.","Payer avec MasterPass."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation. Pour les paiements saisis, une facture est toujours créée."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Choisissez si vous voulez que votre client soit séparément informé par e-mail par Saferpay."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Sélectionnez le provider pour les paiements direct debit."
"Customweb_SaferpayCw::Communication with the processor failed.","La communication avec le processeur a échoué."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","Communication with the processor timed out. Please check with acquirer."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","La communication avec le processeur a expiré. Veuillez s'il vous plaît contacter votre acquéreur."
"Customweb_SaferpayCw::Company","Société"
"Customweb_SaferpayCw::Company Commercial Number","Société Nombre de commerce"
"Customweb_SaferpayCw::Company name","Nom de la société"
"Customweb_SaferpayCw::Condition not satisfied.","Condition not satisfied."
"Customweb_SaferpayCw::Condition not staisfied.","Condition non remplie."
"Customweb_SaferpayCw::Confirm Password","Confirmer le mot de passe"
"Customweb_SaferpayCw::Continue","Continuer"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","Impossible de trouver un adaptateur pour la mode d'autorisation !methodName."
"Customweb_SaferpayCw::Could not find pressed button.","Impossible de trouver le bouton pressé."
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Customweb_SaferpayCw::Create Account","Créer un compte"
"Customweb_SaferpayCw::Create New Order - Payment","Créer nouvelle commande - Paiement"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Customweb_SaferpayCw::Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Customweb_SaferpayCw::Creation Date","Date de création"
"Customweb_SaferpayCw::Credit Card Brands","Types de cartes de crédit"
"Customweb_SaferpayCw::Credit Memo History","Histoire de note de crédit"
"Customweb_SaferpayCw::Credit Memo Totals","Totaux note de crédit"
"Customweb_SaferpayCw::Credit limit exceeded.","Limite de crédit dépassée."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Total de note de crédit doit être positive."
"Customweb_SaferpayCw::Creditor Identifier","Identification du créditeur"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Nuéro d'identification du créancier : !CREDITOR_ID<br/> Mandat référence:  !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME l'autorisation révocable à débiter le montant indiqué ci-dessus et recueillir les paiements futurs à payer depuis mon compte au moyen de prélèvements, conformément à mes informations listées ci-dessus. Dans le même temps, je charge mon institution financière de racheter les débits à partir de mon compte.  <br/> <br/> Note: Je peux demander le remboursement du montant débité les huit semaines suivant la date à laquelle il est débité. Les conditions convenues avec mon institution financière s'appliquent pour cela. <br/> Je confirme le mandat SEPA Direct Debit"
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Nuéro d'identification du créancier : !CREDITOR_ID<br/> Mandat référence: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME l'autorisation révocable à débiter le montant indiqué ci-dessus et recueillir les paiements futurs à payer depuis mon compte au moyen de prélèvements, conformément à mes informations listées ci-dessus. Dans le même temps, je charge mon institution financière de racheter les débits à partir de mon compte. <br/> <br/> Note: Je peux demander le remboursement du montant débité les huit semaines suivant la date à laquelle il est débité. Les conditions convenues avec mon institution financière s'appliquent pour cela. <br/> Je confirme le mandat SEPA Direct Debit"
"Customweb_SaferpayCw::Currency","Monnaie"
"Customweb_SaferpayCw::Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Paramètres de mesure ont été modifiés. Fraude possible."
"Customweb_SaferpayCw::Customer Account","Compte client"
"Customweb_SaferpayCw::Customer Address","Adresse du client"
"Customweb_SaferpayCw::Customer Alias Management","Gestion des Alias du client"
"Customweb_SaferpayCw::Customer confirmation email","Email de confirmation du client"
"Customweb_SaferpayCw::Customer entered invalid card details","Les informations de paiement renseignées par le client sont invalides."
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","Le client est retourné de SaferpayCw avec succès"
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Client retourné avec succès de la page de paiement de SaferpayCw."
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Client retourné avec succès de la page de paiement de SaferpayCw."
"Customweb_SaferpayCw::Customer used expired card.","Customer used expired card."
"Customweb_SaferpayCw::Customer used expried card.","Le client a utilisé une carte expirée."
"Customweb_SaferpayCw::Customers","Clients"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Date"
"Customweb_SaferpayCw::Date of Birth","Date de naissance"
"Customweb_SaferpayCw::Date of birth","Date de naissance"
"Customweb_SaferpayCw::Day","Jour"
"Customweb_SaferpayCw::Deactivate","Désactiver"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Customweb_SaferpayCw::Default Config","Configuration par défaut"
"Customweb_SaferpayCw::Default lightweight responsive theme","Thème lightweight responsive par défaut"
"Customweb_SaferpayCw::Deferred","Differé"
"Customweb_SaferpayCw::Deferred (authorization)","Différé (autorisation)"
"Customweb_SaferpayCw::Deferred capturing","Comptabilisation retardée"
"Customweb_SaferpayCw::Deferred settlement","Génération retardée"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Customweb_SaferpayCw::Delayed","Differé"
"Customweb_SaferpayCw::Delete","Effacer"
"Customweb_SaferpayCw::Delivery address","Delivery address"
"Customweb_SaferpayCw::Delivery address is sent","Envoyer l'adresse de livraison"
"Customweb_SaferpayCw::Description","Description"
"Customweb_SaferpayCw::Description of the order","Description de la commande"
"Customweb_SaferpayCw::Details:","Détails:"
"Customweb_SaferpayCw::Details: !details","Détails: !details"
"Customweb_SaferpayCw::Diners","Diners Club"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","La capture directe a échoué."
"Customweb_SaferpayCw::Direct Debits","Direct Debits"
"Customweb_SaferpayCw::Direct E-Banking","Sofort Banking"
"Customweb_SaferpayCw::Direct capture after order","Directement après la commande"
"Customweb_SaferpayCw::Direct debit provider","Provider direct debit"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct debit avec Billpay"
"Customweb_SaferpayCw::Direct debit with ELV","Direct debit avec ELV"
"Customweb_SaferpayCw::Directly after order","Directement après la commande"
"Customweb_SaferpayCw::Directly after order (sale)","Directement après la commande"
"Customweb_SaferpayCw::Disabled","Désactivé"
"Customweb_SaferpayCw::Discount","Rabais"
"Customweb_SaferpayCw::Discount Amount","Montant du rabais"
"Customweb_SaferpayCw::Do not inform the customer","Ne pas informer le client"
"Customweb_SaferpayCw::Do not mark them","Ne pas marquer"
"Customweb_SaferpayCw::Don't change order status","Ne pas modifier le statut de la commande"
"Customweb_SaferpayCw::Due Date","Date d'échéance"
"Customweb_SaferpayCw::During authorization","Pendant l'autorisation"
"Customweb_SaferpayCw::Edit","Modifier"
"Customweb_SaferpayCw::Edit Invoice %s","Éditer la facture %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Nom de la méthode de paiement"
"Customweb_SaferpayCw::Email Address","E-mail"
"Customweb_SaferpayCw::Empty version number field name","Nom de champ de numéro de version vide"
"Customweb_SaferpayCw::Enable or disable logging.","Activer ou désactiver le logging."
"Customweb_SaferpayCw::Enable the payment method","Activer le mode de paiement"
"Customweb_SaferpayCw::Enabled","Activé"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Customweb_SaferpayCw::Error server responded with status code @status","Le serveur d'erreur a répondu avec le code statut @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"Customweb_SaferpayCw::Excl. Tax","Excl. impôt"
"Customweb_SaferpayCw::Expired Token.","Token périmé."
"Customweb_SaferpayCw::External Checkout","Vérification externe"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Customweb_SaferpayCw::Failed","Raté"
"Customweb_SaferpayCw::Failed payment authorization.","L'autorisation a été refusée."
"Customweb_SaferpayCw::Failed with error: !name","Echec avec erreur: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Échec avec une nouvelle erreur: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Echec dû à une erreur inconnue: !name"
"Customweb_SaferpayCw::Female","Femelle"
"Customweb_SaferpayCw::Figure !number:","Image !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","Pour les transactions utilisant un alias existant, le contrôle CVC peut être desactivé. L'adresse de livraison sera verifiée à la place."
"Customweb_SaferpayCw::Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Customweb_SaferpayCw::Forgot your password?","Mot de passe oublié?"
"Customweb_SaferpayCw::Gender","Sexe"
"Customweb_SaferpayCw::Get Update","Mettre à jour"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","ID du créditeur: !CREDITOR_ID<br/> Référence de mandat: !MANDATE_REFERENCE<br/>Date: !DATE<br/> J'autorise (!CUSTOMER) révocablement !MERCHANT_NAME d'utiliser les informations de mon compte et les débiter directement pour les paiements dans l'avenir à être effectués. De plus, je instruit ma banque pour traiter les paiements par prélèvement automatique. <br/> Remarque: Dans les huit premières semaines après la date de débit je peux demander un remboursement pour le montant débité. Les conditions de mon institut de crédit sont applicables. <br/> Je confirme le mandat de prélèvement SEPA"
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Saferpay. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Saferpay. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Customweb_SaferpayCw::Hide","Masquer"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies."
"Customweb_SaferpayCw::I agree.","Je suis d'accord"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","Número du compte bancaire"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","Est-ce que le paiement est effectué sans transfert de responsabilité ou est-ce que vous voulez que la transaction soit marquée incertaine?"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
