" (This was a gift)", " (To był prezent)"
"Create New Resolution", "Stwórz nowy decyzję"
"Create New Status", "Stwórz nowy status"
"Create RMA", "Stwórz RMS"
"Create RMA for this customer", "Stwórz zwrot dla tego klienta"
"Create RMA for this order", "Stwórz zwrot dla tego zamówienia"
"Created Date", "Data stworzenia"
"Created From Ticket", "Stworzony na podstawie zadania"
"Credit Memo #", "Notatka kredytowa #"
"Credit memo Adjustment Fee", "Notatka kredytowa Dostosowanie opłaty"
"Custom Fields", "Własne pola"
"Customer", "Klient"
"Customer Account", "Konto klienta"
"Customer Information", "Informacje o kliencie"
"Customer Name", "Nazwa klienta"
"Date", "Data"
"Date Requested", "Data zgłoszenia"
"Date: %s", "Data: %s"
"Default owner for new RMA", "Domyślny opiekun dla nowego zwrotu"
"Default status for new RMA", "Domyślny status dla nowego zwrotu"
"Delete", "Usuń"
"Description", "Opis"
"Dictionaries", "Słowniki"
"Disabled", "Wyłączony"
"Don\'t return to Stock", "Nie powracaj do magazynu"
"Drop-down list", "Lista wyboru"
"Edit Condition '%s'", "Edycja warunku '%s'"
"Edit Field '%s'", "Edycja pola '%s'"
"Edit Reason '%s'", "Edycja powodu '%s'"
"Edit Resolution '%s'", "Edycja decyzji '%s'"
"Edit Status '%s'", "Edycja statusu '%s'"
"Email", "Email"
"Email Address", "Adres email"
"Email Notification Settings", "Ustawienia powiadomień mailowych"
"Email Notification for administrator", "Powiadomienia mailowe dla administratora"
"Email Notification for customer", "Powiadomienia mailowe dla klienta"
"Email Sender", "Wysyłka maila"
"Email or Last Name", "Email albo nazwisko"
"Enable integration with Help Desk", "Włącz integrację z Help Deskiem"
"Enable option "This was a gift"", "Włącz opcję "To był prezent""
"Enabled", "Włączony"
"Enter valid message.", "Wprowadź poprawną wiadomość."
"Enter your contact information", "Wprowadź Twoje dane adresowe"
"Exchange Order #", "Wymień zamówienie #"
"Exchange Order Information", "Wymień informacje o zamówieniu"
"External Link", "Zewnętrzny link"
"First Name", "Imię"
"FedEx is incorrectly set up. Check your key/password and account/meter credentials at Configuration -> Sales -> Shipping Methods -> FedEx.", "FedEx jest źle skonfigurowany. Sprawdź Twoje dane logowania w Konfiguracja -> Sprzedaż -> Metody dostawy -> FedEx."
"General Information", "Dane podstawowe"
"General Settings", "Ustawienia podstawowe"
"Grid", "Siatka"
"I agree", "Zgadzam się"
"ID", "ID"
"Internal Note", "Notatka wewnętrzna"
"Invalid RMA.", "Niepoprawny zwrot."
"Is Active", "Jest aktywny"
"Is editable for customers", "Czy jest włączone dla klientów"
"Is required for customers", "Czy jest wymagane dla klientów"
"Is required for staff", "Czy jest wymagane dla obsługi"
"Is show in confirm shipping dialog", "Czy jest pokazane w panelu wysyłki"
"Item Condition", "Stan pozycji"
"Items", "Pozycje"
"Items RMA Requested for", "Pozycje zwrotu"
"Items in this order", "Pozycje w tym zamówieniu"
"Last Activity", "Ostatnia aktywność"
"Last Name", "Nazwisko"
"Last Replier", "Ostatnia odpowiedź"
"Limit of attachments size", "Limit na wielkość załączników"
"List", "Lista"
"Manually", "Manualnie"
"Maximum size:", "Maksymalna wielkość:"
"Message for RMA history", "Wiadomość do historii zwrotu"
"Message to Customer", "Wiadomość do klienta"
"Mirasvit RMA", "Mirasvit RMA"
"Multi-line text", "Wieloliniowy tekst"
"Returns", "Zwroty"
"My Returns", "Moje zwroty"
"New Condition", "Nowy stan"
"New Field", "Nowe pole"
"New RMA", "Nowe RMA"
"New Reason", "Nowy powód"
"New Resolution", "Nowa decyzja"
"New Return for Order #%s", "Nowy zwrot dla zamówienia #%s"
"New Status", "Nowy status"
"Next", "Następny"
"No", "Nie"
"Notifications", "Powiadomienia"
"Number Format", "Format numeru"
"Number of returned items", "Ilość zwróconych pozycji"
"Number of returns", "Ilość zwrotów"
"Only for drop-down list. <br>Enter each value from the new line using forma", "Tylko dla listy wyboru. <br>Wprowadź każdą wartość w nowej linii"
"Options list", "Opcje listy"
"Order", "Zamówienie"
"Order #", "Zamówienie #"
"Order Information", "Informacje o zamówieniu"
"Order Shipping Address", "Adres wysyłki zamówienia"
"Order doesn\'t meet RMA policy", "Zamówienie nie powiązane z umową zwrotu"
"Order meets RMA policy", "Zamówienie powiązane z umową zwrotu"
"Ordered Qty", "Zamówiona ilość"
"Original order: #%s", "Oryginalne zamówienie: #%s"
"Owner", "Opiekun"
"Payment Method", "Metoda płatności"
"Please, post not empty message", "Proszę, wyślij niepustą wiadomość"
"Please, select RMA items which you would like to return.", "Proszę, zaznacz pozycje, które chcesz zrócić."
"Please, select an order", "Proszę, zaznacz zamówienie"
"Print RMA Packing Slip", "Wydrukuj kwit paczki"
"Print RMA Shipping Label", "Wydrukuj etykietę paczki"
"Product", "Produkt"
"Product Name", "Nazwa produktu"
"Product SKU", "SKU produktu"
"Qty", "Ilość"
"Qty to Return", "Ilość do zwrotu"
"Quantity to return", "Ilość do zwrotu"
"RMA", "Zwroty"
"RMA #", "Numer Zgłoszenia"
"RMA #%s", "Zwroty #%s"
"RMA - Notification Email for Customer", "Email informujący dla klienta"
"RMA - Notification Email for RMA Owner", "Email informujący dla opiekuna"
"RMA History", "Historia zwrotów"
"RMA Items", "Pozycje zwrotu"
"RMA Number", "Ilość zwrotów"
"RMA Owner", "Opiekun zwrotu"
"RMA Policy", "Umowa zwrotu"
"RMA Report", "Raport zwrotu"
"RMA by Brand", "Zwroty po marce"
"RMA by Product", "Zwroty po produkcie"
"RMA was successfuly created", "Zgłoszenie zwrotu utworzone"
"Reason", "Powód"
"Reason to Return", "Powód zwrotu"
"Reasons", "Powody"
"Refund Online", "Zwrot online"
"Refund Shipping Fee", "Zwrot kosztu wysyłki"
"Reports", "Raporty"
"Request Information", "Informacje o zgłoszeniu"
"Request new return", "Nowy zwrot"
"Request New Return", "Nowy Zwrot"
"Request RMA", "Reklamacja/Zwroty"
"Resolution", "Decyzja"
"Resolutions", "Decyzje"
"Resolve RMA after obtaining status", "Rozwiąż zwrot po otrzymaniu statusu"
"Return Address", "Adres zwrotu"
"Return to Stock", "Zwrot do magazynu"
"SKU", "SKU"
"Save", "Zapisz"
"Save And Continue Edit", "Zapisz i kontynuuj edycję"
"Select Order", "Zaznacz zamówienie"
"Send Exchange Order Confirmation", "Wyślij informacje o zmianie zamówienia"
"Set Ascending Direction", "Ustaw rosnąco"
"Set Descending Direction", "Ustaw malejąco"
"Settings", "Ustawienia"
"Shipping Cost", "Koszt dostawy"
"Shipping Method", "Metoda dostawy"
"Shipping confirmation text", "Wiadomość potwierdzenia dostawy"
"Shipping is confirmed. Thank you!", "Wysyłka potwierdzona, dziękujemy!"
"Show", "Pokaż"
"Show RMA section in Customer Account", "Pokaż sekcję zwrotów w profilu klienta"
"Show all order items", "Pokaż wszystkie pozycje"
"Sort Order", "Sortuj zamówienie"
"Sort by", "Sortu po"
"Sort order", "Porządek sortowania"
"Start Counter From", "Początek formularza"
"Status", "Status"
"Statuses", "Statusy"
"Stock Qty", "Ilość w magazynie"
"Street Address", "Ulica"
"Submit", "Wyślij"
"Submit Request", "Wyślij zwrot"
"Telephone", "Telefon"
"Template of Notification Email for Customer", "Szablon wiadomości informacyjnej dla klienta"
"Template of Notification Email for RMA Owner", "Szablon wiadomości informacyjnej dla właściciela zwrotu"
"Text", "Tekst"
"There are no Returns", "Nie ma zwrotów"
"There are no items for this product that can be returned.", "Nie ma pozycji dla tego produktu, które mogą być zwrócone."
"This is a non-returnable item per our return policy.", "Ten produkt nie podlega zwroto według umowy."
"This was a gift, please do not notify purchaser", "To był prezent, proszę nie informować kupca"
"Ticket was converted", "Zadanie zostało zmienione"
"Title", "Title"
"Total Products Number", "Suma ilości produktów"
"Total RMAs Number", "Suma ilości zwrotów"
"Type", "Typ"
"Unassigned", "Nieprzypisany"
"Update", "Zaktualizuj"
"Upload Return Label", "Etykieta zwracanej wysyłki"
"View Return", "Pokaż zwrot"
"View as", "Pokaż jako"
"Visible for customers in statuses", "Widoczność dla klientów w statusach"
"XML", "XML"
"Yes", "Tak"
"You have no complete", "You have no complete"
"You have no completed orders or your orders were placed more than %s days ago. You can add order manually", "Nie masz ukończonych zleceń lub Twoje zamówienia zostały złożone więcej niż %s dni temu. Możesz dodać zamówienie ręcznie"
"Your comment was successfuly added", "Twój komentarz został pomyślnie dodany"
"Zip/Postcode", "Kod pocztowy"
"leave blank to not send", "zostaw puste aby nie wysyłać"
"open", "otwrate"
"per page", "na stronę"
"Internal Title","Tytuł wewnętrzny"
"Create New Template","Stwórz nowy szablon"
"Items for Order %s","Pozycje dla zamówienia %s"
"Available Qty","Dostępna ilość"
"Message Type","Typ wiadomości"
"Mark as unread","Oznacz jako nieprzeczytane"
"Next Step","Następny Krok"
"Enter information for each item","Wprowadź informację dla każdej pozycji"
"Go to returns","Wróć do listy zwrotów"
"Price","Cena"
"Another RMA for this product: %s","Inny zwrot do tego produktu: %s"
"Validate Installation","Waliduj Instalację"
"Workflow Rules","Przepływ Statusów"
" at %s (%s)"," z %s (%s)"
"RMA has been successfully submitted","Zgłoszenie zwrotu zostało utworzone"
"Claims", "Reklamacje"
"RMA ID","Numer zgłoszenia"
