"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::Action","Action"
"Customweb_SaferpayCw::Action blocked by risk management","Transaction blocked by risk management."
"Customweb_SaferpayCw::Action not supported.","Action not supported."
"Customweb_SaferpayCw::Actions","Actions"
"Customweb_SaferpayCw::Activate","Active"
"Customweb_SaferpayCw::Active","Active"
"Customweb_SaferpayCw::Additional Information","Additional Information"
"Customweb_SaferpayCw::Adjust Qty","Adjust Quantity"
"Customweb_SaferpayCw::Adjustment Discount","Adjustment Discount"
"Customweb_SaferpayCw::Adjustment Fee","Adjustment Fee"
"Customweb_SaferpayCw::After payment selection","After payment method selection"
"Customweb_SaferpayCw::Ajax authorization not supported.","Ajax authorization not supported"
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Alias For Display"
"Customweb_SaferpayCw::Alias ID","Alias ID"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","All Customers"
"Customweb_SaferpayCw::Allowed Currencies","Allowed currencies"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Permitted currencies for this payment method"
"Customweb_SaferpayCw::Already registered?","Already registered?"
"Customweb_SaferpayCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Amount"
"Customweb_SaferpayCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_SaferpayCw::Amount: @amount","Amount: @amount"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","An error occurred: SaferpayCw response is: '!data'"
"Customweb_SaferpayCw::Approval mode","Approval mode"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_SaferpayCw::Authentication failed","Authentication failed"
"Customweb_SaferpayCw::Authentication failed, please check the configuration","Authentication failed, please check the configuration"
"Customweb_SaferpayCw::Author","Author"
"Customweb_SaferpayCw::Authorization Amount","Authorisation Amount"
"Customweb_SaferpayCw::Authorization Failed","Authorisation failed"
"Customweb_SaferpayCw::Authorization Method","Authorisation Method"
"Customweb_SaferpayCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_SaferpayCw::Authorized Status","Authorised status"
"Customweb_SaferpayCw::Await Notification","Await Notification"
"Customweb_SaferpayCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","False signature format."
"Customweb_SaferpayCw::Bank Code","Bank code number"
"Customweb_SaferpayCw::Bank Location","Bank Location"
"Customweb_SaferpayCw::Bank Name","Bank Name"
"Customweb_SaferpayCw::Bank account number","Bank account number (IBAN)"
"Customweb_SaferpayCw::Bank code","Bank code"
"Customweb_SaferpayCw::Bank code number","Bank code number"
"Customweb_SaferpayCw::Bank name","Bank name"
"Customweb_SaferpayCw::Bank: @bank","Bank: @bank"
"Customweb_SaferpayCw::Before payment selection","Before selection of the payment method"
"Customweb_SaferpayCw::Billing Address","Billing Address"
"Customweb_SaferpayCw::Billing Information","Billing information"
"Customweb_SaferpayCw::Billing address","Billing address"
"Customweb_SaferpayCw::Billing address is sent","Send Billing Address to Saferpay"
"Customweb_SaferpayCw::Billing and Delivery address is sent","Billing and Delivery address is sent"
"Customweb_SaferpayCw::Billing and Shipping","Billing and Shipping"
"Customweb_SaferpayCw::Billpay Approval","Billpay Approval"
"Customweb_SaferpayCw::Billpay General Terms","Billpay General Terms"
"Customweb_SaferpayCw::Brand Name","Brand Name"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","By continuing with the checkout-process you agree to the General Terms of Agreement."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_SaferpayCw::CVC Code","CVC Code"
"Customweb_SaferpayCw::Cancel","Cancel"
"Customweb_SaferpayCw::Cancel ID","Cancel ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Customweb_SaferpayCw::Cancel status","Cancel status"
"Customweb_SaferpayCw::Canceled SaferpayCw","Canceled SaferpayCw"
"Customweb_SaferpayCw::Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Customweb_SaferpayCw::Cancelled Status","Cancelled status"
"Customweb_SaferpayCw::Cancelled.","Cancelled."
"Customweb_SaferpayCw::Cannot update item quantity.","Cannot update item quantity."
"Customweb_SaferpayCw::Capture Amount","Amount to capture"
"Customweb_SaferpayCw::Capture ID","Capture ID"
"Customweb_SaferpayCw::Capture amount","Capture amount"
"Customweb_SaferpayCw::Capture information","Capture information"
"Customweb_SaferpayCw::Capture status","Capture status"
"Customweb_SaferpayCw::Capture: Don't Close","Capture: Don't close"
"Customweb_SaferpayCw::Captured Amount","Captured amount"
"Customweb_SaferpayCw::Captured Status","Captured status"
"Customweb_SaferpayCw::Captures","Captures"
"Customweb_SaferpayCw::Captures & Refunds","Captures & Refunds"
"Customweb_SaferpayCw::Capturing","Capturing"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","Capturing not possible. Capturing result '!result'"
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","Capturing not possible. Technical error. Server response '!response'"
"Customweb_SaferpayCw::Card Country Origin","Card Country Origin"
"Customweb_SaferpayCw::Card Expiration","Expiry Date"
"Customweb_SaferpayCw::Card Expiry Date","Card expiry date"
"Customweb_SaferpayCw::Card Form - Holder Name","Card Form - Holder Name"
"Customweb_SaferpayCw::Card Holder Name","Card holder name"
"Customweb_SaferpayCw::Card Number","Card number"
"Customweb_SaferpayCw::Card Reference ID","Card Reference ID"
"Customweb_SaferpayCw::Card Type","Credit card type"
"Customweb_SaferpayCw::Card verification mode","Card verification mode"
"Customweb_SaferpayCw::Carrier Title","Carrier Title"
"Customweb_SaferpayCw::Check out faster","Check out faster"
"Customweb_SaferpayCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Checkout as a guest"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Checkout as a guest or register"
"Customweb_SaferpayCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_SaferpayCw::Checkout using your account","Checkout using your account"
"Customweb_SaferpayCw::Checkout with MasterPass.","Buy with MasterPass."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status. For captured payments, an invoice is always created."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Choose wheather you want your customer to be separately informed by e-mail bySaferpay."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Choose your provider for direct debit payments."
"Customweb_SaferpayCw::Communication with the processor failed.","Communication with the processor failed."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","Communication with the processor timed out. Please check with acquirer."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","Communication with the processor timed out. Please check with aquirer."
"Customweb_SaferpayCw::Company","Company"
"Customweb_SaferpayCw::Company Commercial Number","Company Commercial Number"
"Customweb_SaferpayCw::Company name","Company name"
"Customweb_SaferpayCw::Condition not satisfied.","Condition not satisfied."
"Customweb_SaferpayCw::Condition not staisfied.","Condition not satisfied."
"Customweb_SaferpayCw::Confirm Password","Confirm Password"
"Customweb_SaferpayCw::Continue","Continue"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Customweb_SaferpayCw::Could not find pressed button.","Could not find pressed button."
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Customweb_SaferpayCw::Create Account","Create Account"
"Customweb_SaferpayCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Customweb_SaferpayCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_SaferpayCw::Creation Date","Creation Date"
"Customweb_SaferpayCw::Credit Card Brands","Credit Card Brands"
"Customweb_SaferpayCw::Credit Memo History","Credit Memo History"
"Customweb_SaferpayCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_SaferpayCw::Credit limit exceeded.","Credit limit exceeded."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Credit memo's total must be positive."
"Customweb_SaferpayCw::Creditor Identifier","Creditor Identifier"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate"
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount within eight weeks since the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate"
"Customweb_SaferpayCw::Currency","Currency"
"Customweb_SaferpayCw::Current Configuration Scope:","Current Configuration Scope:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Custom parameters have been altered. Fraud possible, aborting."
"Customweb_SaferpayCw::Customer Account","Customer account"
"Customweb_SaferpayCw::Customer Address","Customer address"
"Customweb_SaferpayCw::Customer Alias Management","Customer Alias Management"
"Customweb_SaferpayCw::Customer confirmation email","Customer confirmation email"
"Customweb_SaferpayCw::Customer entered invalid card details","Customer entered invalid card details"
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","Customer successfully returned from SaferpayCw"
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Customer successfully returned from the SaferpayCw payment page."
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Customer successfully returned from the SaferpayCw payment page."
"Customweb_SaferpayCw::Customer used expired card.","Customer used expired card."
"Customweb_SaferpayCw::Customer used expried card.","Customer used expired card."
"Customweb_SaferpayCw::Customers","Customers"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Date"
"Customweb_SaferpayCw::Date of Birth","Date of birth"
"Customweb_SaferpayCw::Date of birth","Date of birth"
"Customweb_SaferpayCw::Day","Day"
"Customweb_SaferpayCw::Deactivate","Deactivate"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_SaferpayCw::Default Config","Default Configuration"
"Customweb_SaferpayCw::Default lightweight responsive theme","Default lightweight responsive theme"
"Customweb_SaferpayCw::Deferred","Deferred"
"Customweb_SaferpayCw::Deferred (authorization)","Deferred (authorisation)"
"Customweb_SaferpayCw::Deferred capturing","Deferred capturing"
"Customweb_SaferpayCw::Deferred settlement","Deferred settlement"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_SaferpayCw::Delayed","Deferred"
"Customweb_SaferpayCw::Delete","Delete"
"Customweb_SaferpayCw::Delivery address","Delivery address"
"Customweb_SaferpayCw::Delivery address is sent","Send delivery address"
"Customweb_SaferpayCw::Description","Description"
"Customweb_SaferpayCw::Description of the order","Order Description"
"Customweb_SaferpayCw::Details:","Details:"
"Customweb_SaferpayCw::Details: !details","Details: !details"
"Customweb_SaferpayCw::Diners","Diners Club"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","Direct Capture failed."
"Customweb_SaferpayCw::Direct Debits","Direct Debits (ELV)"
"Customweb_SaferpayCw::Direct E-Banking","Direct E-Banking"
"Customweb_SaferpayCw::Direct capture after order","Direct capturing"
"Customweb_SaferpayCw::Direct debit provider","Direct debit provider"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct debit with Billpay"
"Customweb_SaferpayCw::Direct debit with ELV","Direct debit with ELV"
"Customweb_SaferpayCw::Directly after order","Direct capturing"
"Customweb_SaferpayCw::Directly after order (sale)","Direct capturing"
"Customweb_SaferpayCw::Disabled","Deactivated"
"Customweb_SaferpayCw::Discount","Discount"
"Customweb_SaferpayCw::Discount Amount","Discount Amount"
"Customweb_SaferpayCw::Do not inform the customer","Do not inform the customer"
"Customweb_SaferpayCw::Do not mark them","Do not mark"
"Customweb_SaferpayCw::Don't change order status","Don't change order status"
"Customweb_SaferpayCw::Due Date","Due Date"
"Customweb_SaferpayCw::During authorization","During the authorisation"
"Customweb_SaferpayCw::Edit","Edit"
"Customweb_SaferpayCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Effective Payment Method Name"
"Customweb_SaferpayCw::Email Address","Email Address"
"Customweb_SaferpayCw::Empty version number field name","Empty version number field name"
"Customweb_SaferpayCw::Enable or disable logging.","Enable or disable logging."
"Customweb_SaferpayCw::Enable the payment method","Enable this payment method"
"Customweb_SaferpayCw::Enabled","Enabled"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Enter the card expiry date."
"Customweb_SaferpayCw::Error server responded with status code @status","Error server responded with status code @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_SaferpayCw::Excl. Tax","Excl. Tax"
"Customweb_SaferpayCw::Expired Token.","Expired Token."
"Customweb_SaferpayCw::External Checkout","External Checkout"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_SaferpayCw::Failed","Failed"
"Customweb_SaferpayCw::Failed payment authorization.","The authorization failed."
"Customweb_SaferpayCw::Failed with error: !name","Failed with error: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Failed with new error: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Failed due to unknown error: !name"
"Customweb_SaferpayCw::Female","Female"
"Customweb_SaferpayCw::Figure !number:","Figure !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","For transaction using an existing alias the CVC check can be disabled. The shipping address is checked instead."
"Customweb_SaferpayCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_SaferpayCw::Forgot your password?","Forgot your password?"
"Customweb_SaferpayCw::Gender","Gender"
"Customweb_SaferpayCw::Get Update","Get Update"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Creditor ID: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER, authorise  !MERCHANT_NAME revocably to use the account information provided by me to directly debit my bank account for any future payments to be made. Also, I In addition, I instruct my bank to process the direct debit payments. <br/> <br/> Note: Within eight weeks from the debit date I can demand a refund for the debited amount. The conditions agreed upon with my credit institute apply.<br/> I hereby confirm the SEPA direct debit mandate."
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","Creditor identification number: !MERCHANT_IBAN<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I, !CUSTOMER, authorise  !MERCHANT_NAME revocably to collect, according to my payment information, the amount stated above and the payments payable from my account by means of direct debit. Consequently, I instruct my credit institute, to encash the direct debit payments made from my account. <br/> <br/>Please note: I have the right to request reimbursement for the charged amount within eight weeks according to the terms of conditions agreed on with my credit institute.<br/> Hereby I confirm the SEPA direct debit mandate."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_SaferpayCw::Hide","Hide"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","I agree that my personal data is transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perform an identity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies."
"Customweb_SaferpayCw::I agree.","I agree"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","Bank account number (IBAN)"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","If no liability shift is given for a transaction, should the transaction be marked as uncertain?"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","If the test mode is selected, the test Account ID (99867-94913159) is used. Otherwise the configured Account ID will be used."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","If the test mode is selected the test account ID is used. Otherwise the configured live account ID is used."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Image Brand Selection"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","In some cases the customer may switch the payment method or select a more specific one. This label shows the effective one."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_SaferpayCw::Inactive","Inactive"
"Customweb_SaferpayCw::Incl. Tax","Incl. Tax"
"Customweb_SaferpayCw::Inform customer by Saferpay","Inform customer through Saferpay"
"Customweb_SaferpayCw::Inform the customer","Inform customer"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Internal error at ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Invalid Currency."
"Customweb_SaferpayCw::Invalid Token.","Invalid Token."
"Customweb_SaferpayCw::Invalid amount.","Invalid amount."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Invalid credit card data: Please check your credit card data."
